O*NET-SOC Code,Title,Example,Commodity Code,Commodity Title,Hot Technology
11-1021.00,General and Operations Managers,Personnel scheduling software,43231505,Human resources ,N
11-1021.00,General and Operations Managers,Point of sale POS software,43232611,Point of sale POS ,N
11-1021.00,General and Operations Managers,PostgreSQL,43232311,Object oriented data base management ,Y
11-1021.00,General and Operations Managers,Puppet,43232401,Configuration management ,Y
11-1021.00,General and Operations Managers,Qlik Tech QlikView,43232314,Business intelligence and data analysis ,Y
11-1021.00,General and Operations Managers,R,43232405,Object or component oriented development ,Y
11-1021.00,General and Operations Managers,Realization Streamliner,43231507,Project management ,N
11-1021.00,General and Operations Managers,Sage ACT!,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Sage MAS 500,43231604,Financial analysis ,N
11-1021.00,General and Operations Managers,Salesforce software,43232303,Customer relationship management CRM ,Y
11-1021.00,General and Operations Managers,Salesforce.com Salesforce CRM,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,SAP Business Objects,43231602,Enterprise resource planning ERP ,Y
11-1021.00,General and Operations Managers,SAP Crystal Reports,43232305,Data base reporting ,Y
11-1021.00,General and Operations Managers,SAS,43232605,Analytical or scientific ,Y
11-1021.00,General and Operations Managers,Savant MobileRanger,43232306,Data base user interface and query ,N
11-1021.00,General and Operations Managers,SeaMonkey,43232705,Internet browser ,N
11-1021.00,General and Operations Managers,Shell script,43233004,Operating system ,Y
11-1021.00,General and Operations Managers,Siemens NX for Manufacturing,43232612,Computer aided manufacturing CAM ,N
11-1021.00,General and Operations Managers,Software on Sailboats Desktop Sales Manager,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Splunk Enterprise,43233701,Enterprise system management ,Y
11-1021.00,General and Operations Managers,StataCorp Stata,43232605,Analytical or scientific ,N
11-1021.00,General and Operations Managers,Sugar CRM,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Supervisory control and data acquisition SCADA software,43232608,Industrial control ,Y
11-1021.00,General and Operations Managers,Symantec,43233205,Transaction security and virus protection ,Y
11-1021.00,General and Operations Managers,Tableau,43232314,Business intelligence and data analysis ,Y
11-1021.00,General and Operations Managers,Tax software,43231601,Accounting ,Y
11-1021.00,General and Operations Managers,Teradata Database,43232304,Data base management system ,Y
11-1021.00,General and Operations Managers,The MathWorks MATLAB,43232605,Analytical or scientific ,Y
11-1021.00,General and Operations Managers,Vanguard Software Vanguard Sales Manager,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Veritas NetBackup,43233415,Backup or archival ,N
11-1021.00,General and Operations Managers,vtiger CRM,43232303,Customer relationship management CRM ,N
11-1021.00,General and Operations Managers,Yardi,43232306,Data base user interface and query ,Y
11-1021.00,General and Operations Managers,YouTube,43232103,Video creation and editing ,Y
11-1031.00,Legislators,Adobe Systems Adobe FrameMaker,43232112,Desktop publishing ,N
11-1031.00,Legislators,Antenna House,43232112,Desktop publishing ,N
11-1031.00,Legislators,Apple iWork Keynote,43232106,Presentation ,N
11-1031.00,Legislators,Apple Numbers for Mac,43232110,Spreadsheet ,N
11-1031.00,Legislators,Apple Pages for Mac,43232104,Word processing ,N
11-1031.00,Legislators,Cisco AnyConnect,43232901,Access ,N
11-1031.00,Legislators,Cisco Systems WebEx,43233502,Video conferencing ,N
11-1031.00,Legislators,Citrix GoToMeeting,43233502,Video conferencing ,N
11-1031.00,Legislators,Corel WordPerfect Office Suite,43231513,Office suite ,N
11-1031.00,Legislators,GoodReader,43232104,Word processing ,N
11-1031.00,Legislators,iAnnotate,43232104,Word processing ,N
11-1031.00,Legislators,Legislative Automative Workflow System LAWS,43232306,Data base user interface and query ,N
11-1031.00,Legislators,Mapping software,43233506,Map creation ,N
11-1031.00,Legislators,Meeting scheduling software,43232108,Calendar and scheduling ,N
11-1031.00,Legislators,Penultimate,43232104,Word processing ,N
11-1031.00,Legislators,PTC Arbortext Editor,43232104,Word processing ,N
11-1031.00,Legislators,Rocket/Folio NXT,43232112,Desktop publishing ,N
11-1031.00,Legislators,Windows Media Player,43232005,Music or sound editing ,N
11-1031.00,Legislators,XMetaL Author,43232104,Word processing ,N
11-2011.00,Advertising and Promotions Managers,Actuate BIRT,43232314,Business intelligence and data analysis ,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe AfterEffects,43232103,Video creation and editing ,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Creative Suite,43232402,Development environment ,N
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Dreamweaver,43232107,Web page creation and editing ,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe Flash Player,43232107,Web page creation and editing ,N
11-2011.00,Advertising and Promotions Managers,Adobe Illustrator,43232102,Graphics or photo imaging ,Y
11-2011.00,Advertising and Promotions Managers,Adobe InDesign,43232112,Desktop publishing ,Y
11-2011.00,Advertising and Promotions Managers,Adobe Systems Adobe PageMaker,43232112,Desktop publishing ,N
